36,3,6,30,14,47,-1,13,10,19,-5,9,walking
42,1,31,58,15,13,9,1,16,29,5,10,walking
34,-11,11,32,4,38,15,-18,66,37,-1,15,walking
39,14,14,54,8,-5,72,3,14,47,-3,18,walking
38,10,-36,31,12,22,46,-10,63,44,-21,24,walking
31,17,17,34,3,0,31,-17,35,26,-35,43,walking
38,0,-19,32,0,42,53,-6,54,43,-8,11,walking
28,15,13,44,2,-4,41,1,31,30,-12,30,walking
28,8,-15,32,3,53,36,8,44,21,-6,21,walking
31,22,8,40,0,4,26,4,20,6,-12,26,walking
28,17,-39,28,6,53,35,5,45,6,-8,24,walking
39,18,-15,40,-14,31,28,0,41,-2,-38,94,walking
29,0,-20,43,8,37,35,3,67,8,-10,52,walking
41,16,-9,29,0,9,33,0,31,6,-26,76,walking
14,5,-19,41,5,43,26,5,53,17,-23,69,walking
35,16,-13,34,8,-6,56,-2,2,35,-17,63,walking
24,0,-12,33,6,24,56,3,45,20,-22,81,walking
41,13,-16,20,0,-11,36,0,23,52,9,31,walking
31,-2,-2,30,18,17,21,13,39,36,-6,54,walking
35,3,6,36,2,-13,37,0,4,33,4,33,walking
24,-18,3,33,11,19,27,7,44,27,4,44,walking
19,-13,24,35,4,-34,36,2,1,26,-8,66,walking
9,-23,45,22,14,9,19,15,36,10,0,34,walking
24,15,-12,14,-4,2,13,-2,22,35,1,18,walking
-6,-20,52,39,8,13,21,-1,46,20,17,29,walking
26,8,15,7,-33,47,25,-13,7,30,-9,17,walking
57,1,43,40,-7,12,45,7,17,40,11,30,walking
50,21,-5,24,8,9,23,-7,15,31,4,0,walking
29,16,24,32,-9,9,33,-7,32,35,20,10,walking
37,12,16,9,-5,16,31,-15,24,34,11,-11,walking
29,16,59,-18,-29,89,23,0,16,39,26,0,walking
38,2,18,-8,-11,42,23,-12,24,20,4,-13,walking
37,0,57,0,-32,92,34,5,34,19,17,0,walking
37,1,25,-26,-45,103,12,0,0,28,2,-6,walking
25,12,52,19,-9,71,28,-6,33,37,26,-13,walking
36,2,16,22,-29,72,37,1,12,38,3,6,walking
26,14,42,52,-6,32,50,-15,18,35,10,6,walking
25,21,-5,26,-19,77,29,-19,35,28,6,-2,walking
27,28,37,54,-21,121,36,0,6,25,8,-4,walking
42,12,22,29,-5,88,19,-4,41,19,15,-26,walking
43,21,40,57,-10,63,31,-12,33,32,21,-25,walking
