-50,101,-106,-25,115,-103,-55,175,-103,-70,128,-113,walking
-39,114,-110,-64,109,-122,-105,122,-98,-62,101,-117,walking
-58,92,-106,-31,113,-93,-29,125,-108,-46,135,-94,walking
-60,121,-85,-50,94,-109,-69,117,-114,-116,167,-113,walking
-67,115,-102,-30,112,-98,-30,109,-95,-36,126,-100,walking
-70,137,-107,-49,83,-104,-65,114,-97,-82,120,-109,walking
-41,118,-102,-57,108,-89,-36,119,-92,-32,123,-97,walking
-65,86,-92,-69,102,-85,-54,95,-104,-65,110,-102,walking
-41,151,-97,-75,127,-87,-59,128,-101,-39,125,-105,walking
-96,149,-109,-74,124,-105,-50,98,-100,-61,100,-94,walking
-22,120,-104,-69,116,-117,-74,122,-80,-50,124,-95,walking
-71,111,-118,-47,140,-101,-84,132,-109,-59,83,-108,walking
-25,110,-108,-102,147,-118,-76,143,-123,-59,137,-84,walking
-65,103,-115,-34,112,-109,-45,118,-98,-73,127,-112,walking
-39,134,-51,-90,95,-109,-87,137,-100,-69,148,-83,walking
-50,120,-126,-55,136,-57,-43,139,-83,-13,96,-110,walking
-57,123,-72,-59,101,-134,-76,86,-113,-80,128,-94,walking
-54,116,-123,-42,125,-67,-43,132,-71,-26,137,-105,walking
-61,109,-122,-35,100,-117,-55,106,-112,-65,113,-119,walking
-30,123,-95,-73,134,-83,-44,116,-99,-30,124,-89,walking
-107,155,-127,-64,137,-125,-53,92,-110,-67,105,-105,walking
-25,125,-101,-71,123,-127,-69,127,-91,-39,123,-104,walking
-88,117,-106,-54,119,-97,-65,96,-109,-55,90,-101,walking
-28,123,-101,-73,98,-107,-78,127,-94,-44,115,-108,walking
-70,121,-108,-56,161,-98,-57,129,-131,-56,98,-94,walking
-27,106,-97,-104,136,-97,-66,110,-109,-64,132,-85,walking
-71,106,-95,-42,143,-105,-37,137,-103,-54,114,-110,walking
-27,108,-105,-80,96,-108,-118,169,-116,-72,149,-126,walking
-66,88,-92,-31,109,-99,-32,141,-95,-45,127,-105,walking
-41,121,-97,-68,100,-105,-92,111,-107,-68,121,-109,walking
-63,90,-93,-31,124,-97,-27,120,-95,-47,164,-100,walking
-60,123,-77,-52,96,-103,-73,115,-113,-94,154,-119,walking
-61,119,-116,-38,124,-93,-34,111,-96,-30,127,-105,walking
