mean_z,APF_x, APF_y, APF_z,VarAPF,STD_x, STD_y, STD_z,RMS_x, RMS_y, RMS_z,Corr_z_y,MinMax_x, MinMax_y, MinMax_z,type
-1.5,1,1,1,0,124.02638608152881,48.65342285549451,46.43573815261019,6924.35,1071.7,971.45,0.6382627627241084,349,154,157,jumping
-1.5,1,1,1,0,124.02638608152881,48.65342285549451,46.43573815261019,6924.35,1071.7,971.45,0.6382627627241084,349,154,157,jumping
-4.2,1,3,2,1,126.66754385661177,46.70058291332609,52.93350125917948,7252.1,981.55,1269.7,0.8535061651201585,400,124,175,jumping
-5.2,1,3,2,1,123.89731411311725,43.06132577821749,52.2851157915265,6956.75,855.55,1243.7,0.834123039227914,400,104,175,jumping
8.8,0,2,3,2.3333333333333335,114.36685611564995,37.378692682685774,44.882067688554635,5935.9,683.85,945.2,0.564816945678952,324,121,142,jumping
1.4,0,2,3,2.3333333333333335,119.62143992148268,43.3389739918548,48.59400969026715,6450.7,859.8,1063.6,0.6724338985685973,324,121,142,jumping
7.5,0,2,2,1.3333333333333333,105.88888305934461,29.881246441353294,37.77785947703584,5231.85,419.8,670.35,0.7246315642095056,309,92,122,jumping
7.5,0,2,2,1.3333333333333333,105.88888305934461,29.881246441353294,37.77785947703584,5231.85,419.8,670.35,0.7246315642095056,309,92,122,jumping
6.7,0,1,3,2.3333333333333335,121.56278670346082,65.4828221749796,41.58271542627083,6724.3,1930.1,800.55,0.7398828597011775,389,191,129,jumping
6.7,0,1,3,2.3333333333333335,121.56278670346082,65.4828221749796,41.58271542627083,6724.3,1930.1,800.55,0.7398828597011775,389,191,129,jumping
1.5,2,1,2,0.3333333333333333,121.45159072193698,28.825143345504614,37.20289713927607,6637.9,373.9,623.95,0.8746908857849756,356,101,111,jumping
1.5,2,1,2,0.3333333333333333,121.45159072193698,28.825143345504614,37.20289713927607,6637.9,373.9,623.95,0.8746908857849756,356,101,111,jumping
1,1,1,3,1.3333333333333333,126.80693987317886,49.34335483797861,31.766509268585228,7236.0,1104.05,454.6,0.39114791441620994,362,149,93,jumping
1,1,1,3,1.3333333333333333,126.80693987317886,49.34335483797861,31.766509268585228,7236.0,1104.05,454.6,0.39114791441620994,362,149,93,jumping
-5.4,1,1,3,1.3333333333333333,121.14105644064507,46.121217098713544,14.12798640995949,6632.7,960.35,104.4,-0.021997137674550582,341,121,46,jumping
