mean_z,APF_x, APF_y, APF_z,VarAPF,STD_x, STD_y, STD_z,RMS_x, RMS_y, RMS_z,Corr_z_y,MinMax_x, MinMax_y, MinMax_z,type
-20.5,2,3,2,0.3333333333333333,30.688579127892005,9.057838839615355,39.57061199088704,467.05,359.5,914.75,-0.15034946008102335,78,30,140,stillness
-23,2,3,3,0.3333333333333333,31.622952283288022,8.90754985641082,39.90265933772112,503.05,381.55,981.0,-0.1544273920462497,80,30,140,stillness
-32.4,2,2,2,0,38.816376841625896,28.873093972685982,24.445858544956035,1140.1,742.35,793.8,0.024494493554725577,128,87,82,stillness
-1.8,1,2,2,0.3333333333333333,45.1077721807574,13.211526953552509,12.163698268025048,918.5,189.55,68.2,-0.7364953253873565,148,39,35,stillness
-4.6,2,2,1,0.3333333333333333,6.471304179049056,2.4244128727957572,3.6270588023294517,23.05,2.65,16.5,-0.10613914841826971,17,8,10,stillness
-4.6,2,2,1,0.3333333333333333,6.471304179049056,2.4244128727957572,3.6270588023294517,23.05,2.65,16.5,-0.10613914841826971,17,8,10,stillness
1.7,2,3,2,0.3333333333333333,2.359378449224852,0.9944289260117533,2.869378562220979,2.75,1.05,5.15,-0.4945379379443944,8,2,10,stillness
1.7,2,3,2,0.3333333333333333,2.359378449224852,0.9944289260117533,2.869378562220979,2.75,1.05,5.15,-0.4945379379443944,8,2,10,stillness
1.5,3,3,1,1.3333333333333333,4.022160834399561,1.3165611772087666,2.3687784005919825,7.3,1.1,3.65,-0.42753655927906653,13,4,7,stillness
1.5,3,3,1,1.3333333333333333,4.022160834399561,1.3165611772087666,2.3687784005919825,7.3,1.1,3.65,-0.42753655927906653,13,4,7,stillness
0.2,1,0,2,1,1.9119507199599983,1.1595018087284057,1.0327955589886446,2.25,1.45,0.5,0.33402132856134253,6,3,4,stillness
0.2,1,0,2,1,1.9119507199599983,1.1595018087284057,1.0327955589886446,2.25,1.45,0.5,0.33402132856134253,6,3,4,stillness
-0.1,1,0,0,0.33333333333333337,1.3165611772087666,0.4714045207910317,0.31622776601683794,0.8,0.1,0.05,0.0,5,2,1,stillness
-0.1,1,0,0,0.33333333333333337,1.3165611772087666,0.4714045207910317,0.31622776601683794,0.8,0.1,0.05,0.0,5,2,1,stillness
0,0,3,0,3,0.0,0.5163977794943222,0.0,0.0,0.2,0.0,0.0,0,1,0,stillness
0,0,3,0,3,0.0,0.5163977794943222,0.0,0.0,0.2,0.0,0.0,0,1,0,stillness
0,0,0,0,0,0.31622776601683794,0.0,0.0,0.05,0.0,0.0,0.0,1,0,0,stillness
0,0,0,0,0,0.31622776601683794,0.0,0.0,0.05,0.0,0.0,0.0,1,0,0,stillness
0,0,1,1,0.3333333333333333,0.4714045207910317,0.7378647873726218,0.6666666666666666,0.1,0.25,0.2,-0.4517539514526257,2,3,2,stillness
0,0,1,1,0.3333333333333333,0.4714045207910317,0.7378647873726218,0.6666666666666666,0.1,0.25,0.2,-0.4517539514526257,2,3,2,stillness
0,1,2,2,0.3333333333333333,3.198958163736021,0.9189365834726815,1.4907119849998598,4.65,0.4,1.0,-0.4055535528269063,10,3,5,stillness
0,1,2,2,0.3333333333333333,3.198958163736021,0.9189365834726815,1.4907119849998598,4.65,0.4,1.0,-0.4055535528269063,10,3,5,stillness
-0.4,2,2,2,0,0.6666666666666666,2.068278940998476,2.4129281427805145,0.2,5.05,2.7,-0.2003763683812311,2,5,7,stillness
-0.8,2,2,3,0.3333333333333333,1.6465452046971294,2.0,2.0976176963403033,1.4,6.3,2.3,5.551115123125783e-17,6,5,7,stillness
-1.1,1,0,2,1,3.596294389136314,3.4399612400917157,2.923088169119167,5.9,6.45,4.45,-0.6353746316019532,10,9,8,stillness
-1.1,1,0,2,1,3.596294389136314,3.4399612400917157,2.923088169119167,5.9,6.45,4.45,-0.6353746316019532,10,9,8,stillness
-0.5,3,3,3,0,3.6270588023294517,2.4037008503093262,1.5811388300841898,6.0,2.6,1.25,-0.3508232077228117,12,8,5,stillness
0.9,1,2,3,1,3.155242550986462,1.8737959096740262,2.282785822435191,5.2,3.2,2.75,0.6442014798794721,10,6,6,stillness
0.9,1,2,3,1,3.155242550986462,1.8529256146249728,2.282785822435191,5.2,3.35,2.75,0.5752789111872059,10,6,6,stillness
