mean_z,APF_x, APF_y, APF_z,VarAPF,STD_x, STD_y, STD_z,RMS_x, RMS_y, RMS_z,Corr_z_y,MinMax_x, MinMax_y, MinMax_z,type
-4.9,1,2,2,0.3333333333333333,46.26781939005891,31.56809218886128,12.844800071970326,985.1,453.25,86.25,0.014824466416777718,117,101,45,walking
2.4,2,1,2,0.3333333333333333,31.897230809794966,17.827569161897035,13.50061726983869,499.25,146.4,84.9,-0.13369349986987616,101,60,38,walking
2.4,2,1,2,0.3333333333333333,31.897230809794966,17.827569161897035,13.50061726983869,499.25,146.4,84.9,-0.13369349986987616,101,60,38,walking
-0.6,1,1,2,0.3333333333333333,14.654919538048194,15.59059545580818,6.3456021516217564,382.25,111.0,18.3,-0.2338313157036102,56,42,22,walking
-0.6,1,1,2,0.3333333333333333,14.654919538048194,15.59059545580818,6.3456021516217564,382.25,111.0,18.3,-0.2338313157036102,56,42,22,walking
0,1,2,2,0.3333333333333333,20.445048300260872,16.96434168745987,6.879922480183431,388.1,129.75,21.3,-0.3703279881660952,73,42,22,walking
0.8,2,3,2,0.3333333333333333,37.344641144643795,25.168101504351363,13.846780612594877,697.2,292.65,86.6,0.26073859959343365,121,94,44,walking
0.8,2,3,2,0.3333333333333333,37.344641144643795,25.168101504351363,13.846780612594877,697.2,292.65,86.6,0.26073859959343365,121,94,44,walking
-1.1,1,1,2,0.3333333333333333,30.866018711701564,15.132378824523556,11.836384583140243,434.5,134.25,63.65,0.2388937218724162,94,50,41,walking
-1.1,1,1,2,0.3333333333333333,30.866018711701564,15.132378824523556,11.836384583140243,434.5,134.25,63.65,0.2388937218724162,94,50,41,walking
-0.2,1,2,2,0.3333333333333333,30.836666486505962,13.798550648528272,11.331372379372237,433.35,137.7,57.8,0.41756423516510754,94,47,41,walking
7.6,2,3,2,0.3333333333333333,14.898172893195849,13.0877381120226,15.917844633548155,101.5,81.0,142.9,0.0553612626251823,37,36,56,walking
7.6,2,3,2,0.3333333333333333,14.898172893195849,13.0877381120226,15.917844633548155,101.5,81.0,142.9,0.0553612626251823,37,36,56,walking
